date,category,title,source,link,priority
2026-01-12,Media,"India To Procure 1,000 Rafael SPICE Air-To-Surface Missiles",Indian Defence News,https://www.indiandefensenews.in/2026/01/india-to-procure-1000-rafael-spice-air.html,HIGH
2026-01-12,Media,Beyond Induction: The Elusive Quest For Operational Maturity In Combat Aircraft,Indian Defence News,https://www.indiandefensenews.in/2026/01/beyond-induction-elusive-quest-for.html,NORMAL
2026-01-12,Media,Indian Navy To Wet-Lease 4 Amphibious Aircraft To Bolster Coastal Defences,Indian Defence News,https://www.indiandefensenews.in/2026/01/indian-navy-to-wet-lease-4-amphibious.html,NORMAL
2026-01-12,Media,The Truth of Operation Sindoor/ Bunyan-un-Marsous,Indian Defence News,https://www.indiandefensenews.in/2026/01/the-truth-of-operation-sindoor-bunyan.html,NORMAL
2026-01-12,Media,Pakistan Army’s 2025 Counter-Terrorism Report Card,Indian Defence News,https://www.indiandefensenews.in/2026/01/pakistan-armys-2025-counter-terrorism.html,NORMAL
2026-01-12,Media,Navy To Induct Stealth Frigate Taragiri In February,Indian Defence News,https://www.indiandefensenews.in/2026/01/navy-to-induct-stealth-frigate-taragiri.html,NORMAL
2026-01-12,Media,DRDO’s Anvesha Military Satellite Part of Space-Based Surveillance (SBS-III) Initiative,Indian Defence News,https://www.indiandefensenews.in/2026/01/drdos-anvesha-military-satellite-part.html,HIGH
2026-01-12,Media,German Chancellor Merz Begins First Official Visit; Talks With PM Modi Focus On Trade And Defence,Indian Defence News,https://www.indiandefensenews.in/2026/01/german-chancellor-merz-begins-first.html,NORMAL
2026-01-12,Media,Scholars From Think Tanks Visit Hindon Air Force Base To Enhance Understanding of IAF Operations,Indian Defence News,https://www.indiandefensenews.in/2026/01/scholars-from-think-tanks-visit-hindon.html,NORMAL
2026-01-12,Media,"Suspected Pakistani Drones Hover Over LoC, IB In J&K; Search Ops Underway",Indian Defence News,https://www.indiandefensenews.in/2026/01/suspected-pakistani-drones-hover-over.html,NORMAL
2026-01-12,Media,China Wants PLA Bases In Pakistan And Bangladesh Says US Congress's China Military Power Report,Indian Defence News,https://www.indiandefensenews.in/2026/01/china-wants-pla-bases-in-pakistan-and.html,NORMAL
2026-01-12,Media,Navy's MiG-29K Completes NASM-MR Integration: Interfaces Validated,Indian Defence News,https://www.indiandefensenews.in/2026/01/navys-mig-29k-completes-nasm-mr.html,HIGH
2026-01-12,Media,Kongsberg Bags DRDO Vessel Deal: Rim-Drive Thrusters For NPOL's New Advanced Acoustic Research Vessel,Indian Defence News,https://www.indiandefensenews.in/2026/01/kongsberg-bags-drdo-vessel-deal-rim.html,NORMAL
2026-01-12,Media,India's 155mm Ramjet-Powered Artillery Success In Pokhran: Rocket Launchers Doomed?,Indian Defence News,https://www.indiandefensenews.in/2026/01/indias-155mm-ramjet-powered-artillery.html,HIGH
2026-01-12,Media,"Vanar Robots Develops Indigenous Humanoids for Defence, Civilian Use",Indian Defence News,https://www.indiandefensenews.in/2026/01/vanar-robots-develops-indigenous.html,NORMAL
2026-01-12,Media,India's ARDE Pioneers Railgun Development For Army's Hypersonic Strike Edge,Indian Defence News,https://www.indiandefensenews.in/2026/01/indias-arde-pioneers-railgun.html,HIGH
2026-01-12,Media,"U.S. Treasury Secretary Bessent Invites India, Australia To G7 Critical Minerals Summit",Indian Defence News,https://www.indiandefensenews.in/2026/01/us-treasury-secretary-bessent-invites.html,NORMAL
2026-01-12,Media,ISRO Gears Up For Second Spy Satellite Mission In Early 2026 Post PSLV-C62 Strategic Mission,Indian Defence News,https://www.indiandefensenews.in/2026/01/isro-gears-up-for-second-spy-satellite.html,HIGH
2026-01-12,Media,ISRO's 2026 Debut: New 'Eye In The Sky' Military Satellite Blasts Off Tomorrow,Indian Defence News,https://www.indiandefensenews.in/2026/01/isros-2026-debut-new-eye-in-sky.html,HIGH
2026-01-12,Global Military,"NATO’s Europe commander sees growing Russian, Chinese threat in Arctic",Defense News,https://www.defensenews.com/global/europe/2026/01/12/natos-europe-commander-sees-growing-russian-chinese-threat-in-arctic/,NORMAL
2026-01-12,Global Military,"Swedish military to pump forces, money into mobile drone-defense units",Defense News,https://www.defensenews.com/global/europe/2026/01/12/swedish-military-to-pump-forces-money-into-mobile-drone-defense-units/,NORMAL
2026-01-12,Global Military,Dassault Aviation invests in Harmattan AI at €1.4 billion value,Defense News,https://www.defensenews.com/global/europe/2026/01/12/dassault-aviation-invests-in-harmattan-ai-at-14-billion-value/,NORMAL
2026-01-12,Global Military,Where Trump has threatened to strike next,Defense News,https://www.defensenews.com/news/pentagon-congress/2026/01/10/where-trump-has-threatened-to-strike-next/,HIGH
2026-01-12,Global Military,Navy F-35 pilots train to wield drones with touchscreen tablets,Defense News,https://www.defensenews.com/unmanned/2026/01/09/navy-f-35-pilots-train-to-wield-drones-with-touchscreen-tablets/,NORMAL
2026-01-12,Global Military,Air Force outlines acquisition changes supporting Hegseth mandate,Defense News,https://www.defensenews.com/air/2026/01/09/air-force-outlines-acquisition-changes-supporting-hegseth-mandate/,NORMAL
2026-01-12,Global Military,Russia says it used new Oreshnik missile in major attack on Ukraine,Defense News,https://www.defensenews.com/global/europe/2026/01/09/russia-says-it-used-new-oreshnik-missile-in-major-attack-on-ukraine/,NORMAL
2026-01-12,Global Military,Trump threatens to cut Raytheon’s government contract,Defense News,https://www.defensenews.com/industry/2026/01/09/trump-threatens-to-cut-raytheons-government-contract/,NORMAL
2026-01-12,Global Military,Space Force looks to expand West Coast heavy launch capabilities,Defense News,https://www.defensenews.com/space/2026/01/08/space-force-looks-to-expand-west-coast-heavy-launch-capabilities/,NORMAL
2026-01-12,Global Military,"US Marine Corps taps Northrop, Kratos to build Valkyrie drone wingmen",Defense News,https://www.defensenews.com/unmanned/2026/01/08/us-marine-corps-taps-northrop-kratos-to-build-valkyrie-drone-wingmen/,NORMAL
2026-01-12,Global Military,Senate advances resolution to limit Trump’s war powers after Venezuela,Defense News,https://www.defensenews.com/news/pentagon-congress/2026/01/08/senate-advances-resolution-to-limit-trumps-war-powers-after-venezuela/,NORMAL
2026-01-12,Global Military,Italy names Sicily air base as first F-35 pilot school outside US,Defense News,https://www.defensenews.com/global/europe/2026/01/08/italy-names-sicily-air-base-as-first-f-35-pilot-school-outside-us/,NORMAL
2026-01-12,Global Military,Turkey begins 2026 with defense-spending numbers trending up,Defense News,https://www.defensenews.com/global/europe/2026/01/08/turkey-begins-2026-with-defense-spending-numbers-trending-up/,NORMAL
2026-01-12,Global Military,"Chinese drill near Taiwan seen as test run for blockade, message to US",Defense News,https://www.defensenews.com/global/asia-pacific/2026/01/08/chinese-drill-near-taiwan-seen-as-test-run-for-blockade-message-to-us/,NORMAL
2026-01-12,Global Military,Trump proposes massive increase in 2027 defense spending to $1.5T,Defense News,https://www.defensenews.com/news/pentagon-congress/2026/01/07/trump-proposes-massive-increase-in-2027-defense-spending-to-15t/,NORMAL
2026-01-12,Global Military,Biodefense is core defense,Defense News,https://www.defensenews.com/opinion/2026/01/07/biodefense-is-core-defense/,NORMAL
2026-01-12,Global Military,Venezuela’s military buries soldiers killed in Maduro operation,Defense News,https://www.defensenews.com/global/the-americas/2026/01/07/venezuelas-military-buries-soldiers-killed-in-maduro-mission/,NORMAL
